batch_id,record_id,status,attempt_count,proxy_used,started_at,ended_at,last_step,artifact_dir,error_code,error_message,confirmation_number
manual-run,TEST-001,manual_required,3,,2026-03-06T01:45:00.539440+00:00,2026-03-06T01:45:01.261767+00:00,exception,artifacts\manual-run\TEST-001,exception,"ProxyXoay login failed [401]: {""error"":""unauthorized"",""error_description"":""Full authentication is required to access this resource""}",
manual-run,TEST-002,manual_required,3,,2026-03-06T01:45:01.286648+00:00,2026-03-06T01:45:01.953373+00:00,exception,artifacts\manual-run\TEST-002,exception,"ProxyXoay login failed [401]: {""error"":""unauthorized"",""error_description"":""Full authentication is required to access this resource""}",
manual-run,TEST-001,manual_required,3,,2026-03-06T04:15:33.396443+00:00,2026-03-06T04:15:34.035441+00:00,exception,artifacts\manual-run\TEST-001,exception,"ProxyXoay request failed [502] /api/v1/inside-proxies/pageable: <!DOCTYPE html>
<!--[if lt IE 7]> <html class=""no-js ie6 oldie"" lang=""en-US""> <![endif]-->
<!--[if IE 7]>    <html class=""no-js ie7 oldie"" lang=""en-US""> <![endif]-->
<!--[if IE 8]>    <html class=""no-js ie8 oldie"" lang=""en-US""> <![endif]-->",
manual-run,TEST-002,manual_required,3,,2026-03-06T04:15:34.059840+00:00,2026-03-06T04:15:34.524741+00:00,exception,artifacts\manual-run\TEST-002,exception,"ProxyXoay request failed [502] /api/v1/inside-proxies/pageable: <!DOCTYPE html>
<!--[if lt IE 7]> <html class=""no-js ie6 oldie"" lang=""en-US""> <![endif]-->
<!--[if IE 7]>    <html class=""no-js ie7 oldie"" lang=""en-US""> <![endif]-->
<!--[if IE 8]>    <html class=""no-js ie8 oldie"" lang=""en-US""> <![endif]-->",
batch-20260306-110020-1a2cfe68,rec-0001-zack-langer-tulsa-1145,success,1,SANDBOX,2026-03-06T04:15:34.543667+00:00,2026-03-06T04:16:28.699444+00:00,submitted,artifacts\batch-20260306-110020-1a2cfe68\rec-0001-zack-langer-tulsa-1145,,,
batch-20260306-110020-1a2cfe68,rec-0002-savannah-smith-anadarko-5053,success,1,SANDBOX,2026-03-06T04:16:28.718882+00:00,2026-03-06T04:17:40.653607+00:00,submitted,artifacts\batch-20260306-110020-1a2cfe68\rec-0002-savannah-smith-anadarko-5053,,,
